loan_id,payment_date,amount,principal_amt,interest_amt,fee_amt,late_fee_amt,channel_id
L000007,2023-12-22,754.86,752.27,2.59,1.0,0.0,1
L000008,2024-04-30,2191.59,2182.55,9.04,2.5,0.0,1
L000008,2024-05-30,2191.59,2182.55,9.04,2.5,0.0,3
L000008,2024-06-29,2191.59,2182.55,9.04,2.5,0.0,2
L000008,2024-07-29,2191.59,2182.55,9.04,0.0,0.0,2
L000008,2024-08-28,2191.59,2182.55,9.04,0.0,0.0,1
L000008,2024-09-27,2191.59,2182.55,9.04,1.0,0.0,2
L000008,2024-10-27,2191.59,2182.55,9.04,1.0,0.0,2
L000008,2024-11-26,2191.59,2182.55,9.04,0.0,0.0,3
L000008,2024-12-26,2191.59,2182.55,9.04,1.0,0.0,1
L000008,2025-01-25,2191.59,2182.55,9.04,1.0,0.0,3
L000008,2025-02-24,2191.59,2182.55,9.04,1.0,0.0,1
L000008,2025-03-26,2191.59,2182.55,9.04,2.5,0.0,3
L000009,2024-10-11,585.79,583.62,2.17,0.0,0.0,3
L000009,2024-11-10,585.79,583.62,2.17,2.5,0.0,1
L000009,2024-12-10,585.79,583.62,2.17,1.0,0.0,3
L000009,2025-01-09,585.79,583.62,2.17,0.0,0.0,2
L000009,2025-02-08,585.79,583.62,2.17,2.5,0.0,2
L000009,2025-03-10,585.79,583.62,2.17,1.0,0.0,2
L000009,2025-04-09,585.79,583.62,2.17,0.0,0.0,2
L000009,2025-05-09,585.79,583.62,2.17,1.0,0.0,3
L000009,2025-06-08,585.79,583.62,2.17,1.0,0.0,2
L000009,2025-07-08,585.79,583.62,2.17,0.0,0.0,2
L000009,2025-08-07,585.79,583.62,2.17,1.0,0.0,2
L000009,2025-09-06,585.79,583.62,2.17,0.0,0.0,2
L000010,2019-01-12,1393.48,1386.68,6.8,1.0,0.0,2
L000010,2019-02-11,1393.48,1386.68,6.8,1.0,0.0,1
L000010,2019-03-13,1393.48,1386.68,6.8,0.0,0.0,1
L000010,2019-04-12,1393.48,1386.68,6.8,2.5,0.0,3
L000010,2019-05-12,1393.48,1386.68,6.8,2.5,0.0,3
L000010,2019-06-11,1393.48,1386.68,6.8,2.5,0.0,1
L000010,2019-07-11,1393.48,1386.68,6.8,0.0,0.0,2
L000010,2019-08-10,1393.48,1386.68,6.8,1.0,0.0,1
L000010,2019-09-09,1393.48,1386.68,6.8,0.0,0.0,1
L000010,2019-10-09,1393.48,1386.68,6.8,2.5,0.0,1
L000010,2019-11-08,1393.48,1386.68,6.8,0.0,0.0,3
L000010,2019-12-08,1393.48,1386.68,6.8,2.5,0.0,3
L000011,2022-05-09,281.09,280.13,0.96,0.0,0.0,2
L000011,2022-06-08,281.09,280.13,0.96,0.0,0.0,3
L000011,2022-07-08,281.09,280.13,0.96,1.0,0.0,2
L000011,2022-08-07,281.09,280.13,0.96,0.0,0.0,2
L000011,2022-09-06,281.09,280.13,0.96,0.0,0.0,2
L000011,2022-10-06,281.09,280.13,0.96,1.0,0.0,1
L000011,2022-11-05,281.09,280.13,0.96,0.0,0.0,2
L000011,2022-12-05,281.09,280.13,0.96,1.0,0.0,1
L000011,2023-01-04,281.09,280.13,0.96,2.5,0.0,1
L000011,2023-02-03,281.09,280.13,0.96,0.0,0.0,1
L000011,2023-03-05,281.09,280.13,0.96,2.5,0.0,1
L000011,2023-04-04,281.09,280.13,0.96,2.5,0.0,3
L000012,2022-12-16,1215.87,1211.51,4.36,2.5,0.0,1
L000012,2023-01-15,1215.87,1211.51,4.36,1.0,0.0,3
L000012,2023-02-14,1215.87,1211.51,4.36,1.0,0.0,2
L000012,2023-03-16,1215.87,1211.51,4.36,0.0,0.0,1
L000012,2023-04-15,1215.87,1211.51,4.36,0.0,0.0,1
L000012,2023-05-15,1215.87,1211.51,4.36,2.5,0.0,3
L000012,2023-06-14,1215.87,1211.51,4.36,0.0,0.0,1
L000012,2023-07-14,1215.87,1211.51,4.36,0.0,0.0,2
L000012,2023-08-13,1215.87,1211.51,4.36,0.0,0.0,3
L000012,2023-09-12,1215.87,1211.51,4.36,0.0,0.0,2
L000012,2023-10-12,1215.87,1211.51,4.36,2.5,0.0,2
L000012,2023-11-11,1215.87,1211.51,4.36,2.5,0.0,1
L000013,2023-08-23,2328.32,2321.2,7.12,0.0,0.0,3
L000013,2023-09-22,2328.32,2321.2,7.12,0.0,0.0,1
L000013,2023-10-22,2328.32,2321.2,7.12,0.0,0.0,2
L000013,2023-11-21,2328.32,2321.2,7.12,0.0,0.0,2
L000013,2023-12-21,2328.32,2321.2,7.12,2.5,0.0,1
L000013,2024-01-20,2328.32,2321.2,7.12,2.5,0.0,3
L000013,2024-02-19,2328.32,2321.2,7.12,0.0,0.0,2
L000013,2024-03-20,2328.32,2321.2,7.12,0.0,0.0,1
L000013,2024-04-19,2328.32,2321.2,7.12,0.0,0.0,2
L000013,2024-05-19,2328.32,2321.2,7.12,0.0,0.0,1
L000013,2024-06-18,2328.32,2321.2,7.12,0.0,0.0,3
L000013,2024-07-18,2328.32,2321.2,7.12,1.0,0.0,3
L000014,2022-07-09,470.92,468.48,2.44,1.0,0.0,2
L000014,2022-08-08,470.92,468.48,2.44,0.0,0.0,2
L000014,2022-09-07,470.92,468.48,2.44,0.0,0.0,3
L000014,2022-10-07,470.92,468.48,2.44,0.0,0.0,3
L000014,2022-11-06,470.92,468.48,2.44,0.0,0.0,1
L000014,2022-12-06,470.92,468.48,2.44,2.5,0.0,3
L000014,2023-01-05,470.92,468.48,2.44,0.0,0.0,1
L000014,2023-02-04,470.92,468.48,2.44,1.0,0.0,1
L000014,2023-03-06,470.92,468.48,2.44,0.0,0.0,2
L000014,2023-04-05,470.92,468.48,2.44,1.0,0.0,3
L000014,2023-05-05,470.92,468.48,2.44,1.0,0.0,3
L000014,2023-06-04,470.92,468.48,2.44,1.0,0.0,3
L000015,2024-09-30,121.07,120.62,0.45,2.5,0.0,3
L000015,2024-10-30,121.07,120.62,0.45,1.0,0.0,3
L000015,2024-11-29,121.07,120.62,0.45,1.0,0.0,3
L000015,2024-12-29,121.07,120.62,0.45,2.5,0.0,2
L000015,2025-01-28,121.07,120.62,0.45,2.5,0.0,3
L000015,2025-02-27,121.07,120.62,0.45,2.5,0.0,3
L000015,2025-03-29,121.07,120.62,0.45,1.0,0.0,2
L000015,2025-04-28,121.07,120.62,0.45,2.5,0.0,2
L000015,2025-05-28,121.07,120.62,0.45,0.0,0.0,3
L000015,2025-06-27,121.07,120.62,0.45,1.0,0.0,1
L000015,2025-07-27,121.07,120.62,0.45,0.0,0.0,1
L000015,2025-08-26,121.07,120.62,0.45,0.0,0.0,3
L000016,2022-07-20,606.76,604.61,2.15,1.0,0.0,2
L000016,2022-08-19,606.76,604.61,2.15,0.0,0.0,3
L000016,2022-09-18,606.76,604.61,2.15,1.0,0.0,2
L000016,2022-10-18,606.76,604.61,2.15,1.0,0.0,2
L000016,2022-11-17,606.76,604.61,2.15,1.0,0.0,1
L000016,2022-12-17,606.76,604.61,2.15,1.0,0.0,2
L000016,2023-01-16,606.76,604.61,2.15,0.0,0.0,1
L000016,2023-02-15,606.76,604.61,2.15,0.0,0.0,2
L000016,2023-03-17,606.76,604.61,2.15,2.5,0.0,1
L000016,2023-04-16,606.76,604.61,2.15,1.0,0.0,3
L000016,2023-05-16,606.76,604.61,2.15,2.5,0.0,1
L000016,2023-06-15,606.76,604.61,2.15,2.5,0.0,2
L000017,2020-10-19,347.65,346.44,1.21,1.0,0.0,1
L000017,2020-11-18,347.65,346.44,1.21,0.0,0.0,1
L000017,2020-12-18,347.65,346.44,1.21,0.0,0.0,2
L000017,2021-01-17,347.65,346.44,1.21,1.0,0.0,2
L000017,2021-02-16,347.65,346.44,1.21,1.0,0.0,2
L000017,2021-03-18,347.65,346.44,1.21,2.5,0.0,2
L000017,2021-04-17,347.65,346.44,1.21,1.0,0.0,1
L000017,2021-05-17,347.65,346.44,1.21,1.0,0.0,1
L000017,2021-06-16,347.65,346.44,1.21,1.0,0.0,1
L000017,2021-07-16,347.65,346.44,1.21,0.0,0.0,1
L000017,2021-08-15,347.65,346.44,1.21,2.5,0.0,1
L000017,2021-09-14,347.65,346.44,1.21,1.0,0.0,2
L000018,2020-04-28,387.13,385.27,1.86,0.0,0.0,2
L000018,2020-05-28,387.13,385.27,1.86,2.5,0.0,1
L000018,2020-06-27,387.13,385.27,1.86,2.5,5.0,3
L000018,2020-07-27,387.13,385.27,1.86,1.0,0.0,1
L000019,2023-04-05,1183.47,1179.76,3.71,1.0,0.0,2
L000019,2023-05-05,1183.47,1179.76,3.71,0.0,0.0,2
L000019,2023-06-04,1183.47,1179.76,3.71,2.5,0.0,1
L000019,2023-07-04,1183.47,1179.76,3.71,0.0,0.0,1
L000019,2023-08-03,1183.47,1179.76,3.71,0.0,0.0,3
L000019,2023-09-02,1183.47,1179.76,3.71,2.5,0.0,3
L000019,2023-10-02,1183.47,1179.76,3.71,1.0,0.0,1
L000019,2023-11-01,1183.47,1179.76,3.71,0.0,0.0,3
L000019,2023-12-01,1183.47,1179.76,3.71,0.0,0.0,3
L000019,2023-12-31,1183.47,1179.76,3.71,2.5,0.0,2
L000019,2024-01-30,1183.47,1179.76,3.71,0.0,0.0,2
L000019,2024-02-29,1183.47,1179.76,3.71,1.0,0.0,2
L000020,2022-09-02,868.47,866.05,2.42,2.5,0.0,2
L000020,2022-10-02,868.47,866.05,2.42,1.0,0.0,3
L000020,2022-11-01,868.47,866.05,2.42,1.0,0.0,2
L000020,2022-12-01,868.47,866.05,2.42,1.0,0.0,1
L000020,2022-12-31,868.47,866.05,2.42,2.5,0.0,3
L000020,2023-01-30,868.47,866.05,2.42,0.0,0.0,2
L000020,2023-03-01,868.47,866.05,2.42,1.0,0.0,2
L000020,2023-03-31,868.47,866.05,2.42,2.5,0.0,1
L000020,2023-04-30,868.47,866.05,2.42,2.5,0.0,3
L000020,2023-05-30,868.47,866.05,2.42,2.5,0.0,3
L000020,2023-06-29,868.47,866.05,2.42,2.5,0.0,3
L000020,2023-07-29,868.47,866.05,2.42,0.0,0.0,1
L000021,2022-10-30,602.35,600.87,1.48,1.0,0.0,2
L000021,2022-11-29,602.35,600.87,1.48,2.5,0.0,3
L000021,2022-12-29,602.35,600.87,1.48,1.0,0.0,3
L000021,2023-01-28,602.35,600.87,1.48,2.5,0.0,3
L000021,2023-02-27,602.35,600.87,1.48,1.0,0.0,1
L000021,2023-03-29,602.35,600.87,1.48,0.0,0.0,1
L000021,2023-04-28,602.35,600.87,1.48,0.0,0.0,3
L000021,2023-05-28,602.35,600.87,1.48,1.0,0.0,2
L000021,2023-06-27,602.35,600.87,1.48,1.0,0.0,1
L000021,2023-07-27,602.35,600.87,1.48,0.0,0.0,1
L000021,2023-08-26,602.35,600.87,1.48,1.0,0.0,1
L000021,2023-09-25,602.35,600.87,1.48,0.0,0.0,1
L000022,2023-10-07,870.56,864.96,5.6,1.0,0.0,2
L000022,2023-11-06,870.56,864.96,5.6,0.0,0.0,3
L000022,2023-12-06,870.56,864.96,5.6,1.0,0.0,1
L000022,2024-01-05,870.56,864.96,5.6,0.0,0.0,1
L000023,2022-02-11,541.14,537.82,3.32,0.0,0.0,2
L000023,2022-03-13,541.14,537.82,3.32,2.5,0.0,2
L000023,2022-04-12,541.14,537.82,3.32,0.0,0.0,1
L000023,2022-05-12,541.14,537.82,3.32,1.0,0.0,1
L000023,2022-06-11,541.14,537.82,3.32,2.5,0.0,2
L000023,2022-07-11,541.14,537.82,3.32,0.0,0.0,1
L000023,2022-08-10,541.14,537.82,3.32,2.5,0.0,2
L000023,2022-09-09,541.14,537.82,3.32,1.0,0.0,3
L000023,2022-10-09,541.14,537.82,3.32,2.5,0.0,2
L000023,2022-11-08,541.14,537.82,3.32,1.0,0.0,2
L000023,2022-12-08,541.14,537.82,3.32,2.5,0.0,3
L000023,2023-01-07,541.14,537.82,3.32,2.5,0.0,3
L000024,2020-11-12,425.27,423.63,1.64,1.0,0.0,2
L000024,2020-12-12,425.27,423.63,1.64,2.5,5.0,3
L000024,2021-01-11,425.27,423.63,1.64,2.5,0.0,2
L000024,2021-02-10,425.27,423.63,1.64,2.5,0.0,1
L000025,2022-07-25,908.46,905.06,3.4,0.0,0.0,2
L000025,2022-08-24,908.46,905.06,3.4,1.0,5.0,2
L000025,2022-09-23,908.46,905.06,3.4,1.0,0.0,2
L000025,2022-10-23,908.46,905.06,3.4,0.0,0.0,2
L000026,2020-07-28,407.47,405.57,1.9,1.0,0.0,1
L000026,2020-08-27,407.47,405.57,1.9,0.0,0.0,3
L000026,2020-09-26,407.47,405.57,1.9,0.0,0.0,1
L000026,2020-10-26,407.47,405.57,1.9,0.0,0.0,2
L000026,2020-11-25,407.47,405.57,1.9,0.0,0.0,1
L000026,2020-12-25,407.47,405.57,1.9,2.5,0.0,3
L000026,2021-01-24,407.47,405.57,1.9,2.5,0.0,2
L000026,2021-02-23,407.47,405.57,1.9,1.0,0.0,3
L000026,2021-03-25,407.47,405.57,1.9,1.0,0.0,2
L000026,2021-04-24,407.47,405.57,1.9,2.5,0.0,2
L000026,2021-05-24,407.47,405.57,1.9,1.0,0.0,1
L000026,2021-06-23,407.47,405.57,1.9,0.0,0.0,1
L000027,2022-04-12,323.79,321.87,1.92,2.5,0.0,2
L000027,2022-05-12,323.79,321.87,1.92,2.5,0.0,1
L000027,2022-06-11,323.79,321.87,1.92,1.0,0.0,1
L000027,2022-07-11,323.79,321.87,1.92,1.0,0.0,2
L000027,2022-08-10,323.79,321.87,1.92,1.0,0.0,1
L000027,2022-09-09,323.79,321.87,1.92,1.0,0.0,2
L000027,2022-10-09,323.79,321.87,1.92,0.0,0.0,2
L000027,2022-11-08,323.79,321.87,1.92,1.0,0.0,1
L000027,2022-12-08,323.79,321.87,1.92,1.0,0.0,1
L000027,2023-01-07,323.79,321.87,1.92,1.0,0.0,2
L000027,2023-02-06,323.79,321.87,1.92,1.0,0.0,3
L000027,2023-03-08,323.79,321.87,1.92,0.0,0.0,2
L000028,2018-05-11,1939.7,1932.8,6.9,1.0,0.0,1
L000028,2018-06-10,1939.7,1932.8,6.9,1.0,0.0,1
L000028,2018-07-10,1939.7,1932.8,6.9,2.5,0.0,1
L000028,2018-08-09,1939.7,1932.8,6.9,1.0,0.0,1
L000028,2018-09-08,1939.7,1932.8,6.9,2.5,0.0,2
L000028,2018-10-08,1939.7,1932.8,6.9,2.5,0.0,2
L000028,2018-11-07,1939.7,1932.8,6.9,0.0,0.0,1
L000028,2018-12-07,1939.7,1932.8,6.9,0.0,0.0,1
L000028,2019-01-06,1939.7,1932.8,6.9,2.5,0.0,1
L000028,2019-02-05,1939.7,1932.8,6.9,0.0,0.0,3
L000028,2019-03-07,1939.7,1932.8,6.9,1.0,0.0,2
L000028,2019-04-06,1939.7,1932.8,6.9,0.0,0.0,3
L000029,2019-09-03,734.57,731.78,2.79,2.5,0.0,1
L000029,2019-10-03,734.57,731.78,2.79,0.0,0.0,1
L000029,2019-11-02,734.57,731.78,2.79,1.0,0.0,1
L000029,2019-12-02,734.57,731.78,2.79,0.0,0.0,1
L000029,2020-01-01,734.57,731.78,2.79,1.0,0.0,2
L000029,2020-01-31,734.57,731.78,2.79,2.5,0.0,3
L000029,2020-03-01,734.57,731.78,2.79,2.5,0.0,2
L000029,2020-03-31,734.57,731.78,2.79,2.5,0.0,3
L000029,2020-04-30,734.57,731.78,2.79,0.0,0.0,1
L000029,2020-05-30,734.57,731.78,2.79,0.0,0.0,2
L000029,2020-06-29,734.57,731.78,2.79,1.0,0.0,1
L000029,2020-07-29,734.57,731.78,2.79,0.0,0.0,3
L000030,2019-03-06,594.53,591.22,3.31,0.0,0.0,1
L000030,2019-04-05,594.53,591.22,3.31,2.5,0.0,1
L000030,2019-05-05,594.53,591.22,3.31,0.0,0.0,1
L000030,2019-06-04,594.53,591.22,3.31,1.0,0.0,2
L000030,2019-07-04,594.53,591.22,3.31,0.0,0.0,2
L000030,2019-08-03,594.53,591.22,3.31,2.5,0.0,2
L000030,2019-09-02,594.53,591.22,3.31,2.5,0.0,3
L000030,2019-10-02,594.53,591.22,3.31,0.0,0.0,3
L000030,2019-11-01,594.53,591.22,3.31,1.0,0.0,1
L000030,2019-12-01,594.53,591.22,3.31,0.0,0.0,2
L000030,2019-12-31,594.53,591.22,3.31,2.5,0.0,2
L000030,2020-01-30,594.53,591.22,3.31,0.0,0.0,3
L000031,2019-05-17,329.05,327.8,1.25,2.5,0.0,3
L000031,2019-06-16,329.05,327.8,1.25,0.0,0.0,2
L000031,2019-07-16,329.05,327.8,1.25,2.5,0.0,1
L000031,2019-08-15,329.05,327.8,1.25,2.5,0.0,2
L000031,2019-09-14,329.05,327.8,1.25,0.0,0.0,2
L000031,2019-10-14,329.05,327.8,1.25,1.0,0.0,3
L000031,2019-11-13,329.05,327.8,1.25,0.0,0.0,3
L000031,2019-12-13,329.05,327.8,1.25,1.0,0.0,2
L000031,2020-01-12,329.05,327.8,1.25,1.0,0.0,3
L000031,2020-02-11,329.05,327.8,1.25,1.0,0.0,2
L000031,2020-03-12,329.05,327.8,1.25,2.5,0.0,3
L000031,2020-04-11,329.05,327.8,1.25,1.0,0.0,2
L000032,2020-10-26,685.33,682.01,3.32,0.0,0.0,2
L000032,2020-11-25,685.33,682.01,3.32,2.5,0.0,2
L000032,2020-12-25,685.33,682.01,3.32,0.0,0.0,1
L000032,2021-01-24,685.33,682.01,3.32,1.0,0.0,1
L000032,2021-02-23,685.33,682.01,3.32,2.5,0.0,1
L000032,2021-03-25,685.33,682.01,3.32,0.0,0.0,1
L000032,2021-04-24,685.33,682.01,3.32,0.0,0.0,3
L000032,2021-05-24,685.33,682.01,3.32,0.0,0.0,1
L000032,2021-06-23,685.33,682.01,3.32,0.0,0.0,2
L000032,2021-07-23,685.33,682.01,3.32,0.0,0.0,1
L000032,2021-08-22,685.33,682.01,3.32,2.5,0.0,1
L000032,2021-09-21,685.33,682.01,3.32,1.0,0.0,2
L000033,2020-09-06,1521.07,1513.11,7.96,2.5,0.0,2
L000033,2020-10-06,1521.07,1513.11,7.96,2.5,0.0,1
L000033,2020-11-05,1521.07,1513.11,7.96,2.5,0.0,2
L000033,2020-12-05,1521.07,1513.11,7.96,1.0,0.0,2
L000033,2021-01-04,1521.07,1513.11,7.96,0.0,0.0,3
L000033,2021-02-03,1521.07,1513.11,7.96,2.5,0.0,3
L000033,2021-03-05,1521.07,1513.11,7.96,2.5,0.0,3
L000033,2021-04-04,1521.07,1513.11,7.96,2.5,0.0,2
L000033,2021-05-04,1521.07,1513.11,7.96,2.5,0.0,1
L000033,2021-06-03,1521.07,1513.11,7.96,1.0,0.0,3
L000033,2021-07-03,1521.07,1513.11,7.96,0.0,0.0,2
L000033,2021-08-02,1521.07,1513.11,7.96,0.0,0.0,2
L000034,2018-05-30,707.71,703.11,4.6,0.0,0.0,2
L000034,2018-06-29,707.71,703.11,4.6,0.0,0.0,1
L000034,2018-07-29,707.71,703.11,4.6,0.0,0.0,2
L000034,2018-08-28,707.71,703.11,4.6,1.0,0.0,1
L000034,2018-09-27,707.71,703.11,4.6,1.0,0.0,2
L000034,2018-10-27,707.71,703.11,4.6,2.5,0.0,2
L000034,2018-11-26,707.71,703.11,4.6,2.5,0.0,2
L000034,2018-12-26,707.71,703.11,4.6,1.0,0.0,1
L000034,2019-01-25,707.71,703.11,4.6,1.0,0.0,3
L000034,2019-02-24,707.71,703.11,4.6,2.5,0.0,2
L000034,2019-03-26,707.71,703.11,4.6,2.5,0.0,2
L000034,2019-04-25,707.71,703.11,4.6,2.5,0.0,3
L000035,2020-06-28,970.25,964.58,5.67,0.0,0.0,1
L000035,2020-07-28,970.25,964.58,5.67,0.0,0.0,2
L000035,2020-08-27,970.25,964.58,5.67,1.0,0.0,1
L000035,2020-09-26,970.25,964.58,5.67,1.0,0.0,2
L000035,2020-10-26,970.25,964.58,5.67,0.0,0.0,1
L000035,2020-11-25,970.25,964.58,5.67,0.0,0.0,1
L000035,2020-12-25,970.25,964.58,5.67,2.5,0.0,3
L000035,2021-01-24,970.25,964.58,5.67,1.0,0.0,2
L000035,2021-02-23,970.25,964.58,5.67,0.0,0.0,3
L000035,2021-03-25,970.25,964.58,5.67,0.0,0.0,2
L000035,2021-04-24,970.25,964.58,5.67,0.0,0.0,1
L000035,2021-05-24,970.25,964.58,5.67,2.5,0.0,2
L000036,2024-02-08,226.09,225.25,0.84,2.5,0.0,2
L000036,2024-03-09,226.09,225.25,0.84,2.5,0.0,2
L000036,2024-04-08,226.09,225.25,0.84,1.0,0.0,1
L000036,2024-05-08,226.09,225.25,0.84,0.0,0.0,2
L000036,2024-06-07,226.09,225.25,0.84,2.5,0.0,1
L000036,2024-07-07,226.09,225.25,0.84,0.0,0.0,1
L000036,2024-08-06,226.09,225.25,0.84,1.0,0.0,3
L000036,2024-09-05,226.09,225.25,0.84,2.5,0.0,3
L000036,2024-10-05,226.09,225.25,0.84,2.5,0.0,3
L000036,2024-11-04,226.09,225.25,0.84,1.0,0.0,3
L000036,2024-12-04,226.09,225.25,0.84,1.0,0.0,3
L000036,2025-01-03,226.09,225.25,0.84,2.5,0.0,3
L000037,2023-07-28,419.4,417.19,2.21,2.5,0.0,1
L000037,2023-08-27,419.4,417.19,2.21,1.0,0.0,3
L000037,2023-09-26,419.4,417.19,2.21,0.0,0.0,2
L000037,2023-10-26,419.4,417.19,2.21,2.5,0.0,3
L000037,2023-11-25,419.4,417.19,2.21,2.5,0.0,2
L000037,2023-12-25,419.4,417.19,2.21,2.5,0.0,2
L000037,2024-01-24,419.4,417.19,2.21,0.0,0.0,2
L000037,2024-02-23,419.4,417.19,2.21,1.0,0.0,1
L000037,2024-03-24,419.4,417.19,2.21,1.0,0.0,3
L000037,2024-04-23,419.4,417.19,2.21,2.5,0.0,1
L000037,2024-05-23,419.4,417.19,2.21,1.0,0.0,2
L000037,2024-06-22,419.4,417.19,2.21,1.0,0.0,3
L000038,2019-05-13,293.55,291.7,1.85,2.5,0.0,1
L000038,2019-06-12,293.55,291.7,1.85,1.0,0.0,3
L000038,2019-07-12,293.55,291.7,1.85,0.0,0.0,2
L000038,2019-08-11,293.55,291.7,1.85,1.0,0.0,2
L000038,2019-09-10,293.55,291.7,1.85,2.5,0.0,1
L000038,2019-10-10,293.55,291.7,1.85,0.0,0.0,3
L000038,2019-11-09,293.55,291.7,1.85,2.5,0.0,2
L000038,2019-12-09,293.55,291.7,1.85,1.0,0.0,2
L000038,2020-01-08,293.55,291.7,1.85,0.0,0.0,3
L000038,2020-02-07,293.55,291.7,1.85,0.0,0.0,1
