loan_id,customer_id,application_date,loan_amount,interest_rate,term_months,product_type,default_flag
L000051,C000061,2020-08-28,11814.88,6.93,72,BIKE_LOAN,false
L000052,C000313,2022-10-20,9971.23,3.34,24,CAR_LOAN,false
L000053,C000292,2021-12-07,25355.79,6.08,24,BIKE_LOAN,false
L000054,C000150,2021-03-31,27054.89,8.21,60,PERSONAL_LOAN,false
L000055,C000070,2022-08-13,41588.29,8.45,72,CAR_LOAN,false
L000056,C000068,2020-10-19,9142.22,4.43,24,PERSONAL_LOAN,false
L000057,C000073,2024-06-23,29560.88,6.27,48,BIKE_LOAN,false
L000058,C000407,2019-01-17,19919.73,7.0,72,BIKE_LOAN,false
L000059,C000250,2021-09-02,27442.13,7.71,72,CAR_LOAN,false
L000060,C000235,2022-01-07,38704.46,7.27,48,CAR_LOAN,false
L000061,C000423,2020-05-17,23778.03,4.44,36,BIKE_LOAN,false
L000062,C000067,2024-05-07,38801.75,7.23,72,CAR_LOAN,true
L000063,C000321,2023-02-26,3683.82,8.08,24,BIKE_LOAN,false
L000064,C000491,2022-10-19,11497.36,6.63,24,PERSONAL_LOAN,false
L000065,C000448,2021-01-27,6920.28,4.66,12,BIKE_LOAN,false
L000066,C000333,2019-11-09,5175.07,6.25,72,PERSONAL_LOAN,false
L000067,C000220,2019-01-09,32555.32,2.51,48,CAR_LOAN,false
L000068,C000116,2023-10-29,31559.27,2.56,72,BIKE_LOAN,false
L000069,C000441,2022-09-26,32149.3,5.37,24,BIKE_LOAN,false
L000070,C000413,2019-02-24,7334.46,4.71,36,CAR_LOAN,false
L000071,C000417,2019-06-30,29946.2,6.56,12,PERSONAL_LOAN,false
L000072,C000313,2019-11-04,21484.18,6.83,72,PERSONAL_LOAN,false
L000073,C000211,2024-11-28,31835.78,7.66,12,CAR_LOAN,false
L000074,C000064,2024-08-11,33660.38,4.61,48,BIKE_LOAN,false
L000075,C000127,2021-02-08,30074.06,3.99,60,PERSONAL_LOAN,false
L000076,C000146,2018-04-20,38611.47,6.45,36,CAR_LOAN,false
L000077,C000261,2020-02-12,34409.43,4.27,12,CAR_LOAN,false
L000078,C000058,2020-09-14,23982.47,6.06,60,CAR_LOAN,false
L000079,C000479,2021-07-20,8543.28,7.66,60,BIKE_LOAN,false
L000080,C000350,2019-12-09,35034.49,8.23,12,CAR_LOAN,false
L000081,C000008,2020-12-09,12061.2,8.04,48,PERSONAL_LOAN,false
L000082,C000365,2023-08-15,35218.62,5.04,48,CAR_LOAN,false
L000083,C000276,2024-11-28,9412.58,3.0,12,PERSONAL_LOAN,false
L000084,C000499,2019-09-29,25528.39,4.84,72,PERSONAL_LOAN,false
L000085,C000034,2021-06-24,32344.39,6.88,24,CAR_LOAN,false
L000086,C000474,2022-11-15,7871.44,6.17,12,BIKE_LOAN,false
L000087,C000337,2019-12-21,8016.61,6.75,72,CAR_LOAN,false
L000088,C000488,2021-11-21,24966.23,7.2,72,BIKE_LOAN,false
L000089,C000065,2021-01-05,33783.31,3.21,12,BIKE_LOAN,false
L000090,C000140,2023-11-16,5682.62,6.77,60,PERSONAL_LOAN,false
L000091,C000234,2023-09-24,18125.2,5.5,60,CAR_LOAN,false
L000092,C000131,2019-02-26,40559.27,6.54,12,CAR_LOAN,false
L000093,C000002,2018-06-30,39064.94,2.57,12,BIKE_LOAN,false
L000094,C000472,2019-09-07,10516.36,8.26,12,PERSONAL_LOAN,false
L000095,C000366,2022-09-14,12429.64,3.99,72,BIKE_LOAN,false
L000096,C000040,2024-05-30,18657.94,5.51,12,CAR_LOAN,false
L000097,C000265,2018-07-08,43071.34,2.91,48,BIKE_LOAN,false
L000098,C000160,2021-09-02,6628.19,5.24,36,CAR_LOAN,false
L000099,C000402,2021-05-29,34062.19,3.96,36,PERSONAL_LOAN,false
L000100,C000396,2020-03-11,33763.46,5.78,24,CAR_LOAN,true
L000101,C000210,2018-04-08,12785.91,4.58,72,CAR_LOAN,false
L000102,C000001,2022-03-22,38658.25,6.86,12,CAR_LOAN,false
L000103,C000122,2022-09-16,23665.21,2.86,24,PERSONAL_LOAN,false
L000104,C000023,2020-08-06,40686.07,5.62,72,BIKE_LOAN,false
L000105,C000383,2018-12-14,27392.37,5.53,72,BIKE_LOAN,false
L000106,C000291,2018-09-13,21269.28,8.29,24,BIKE_LOAN,false
L000107,C000162,2022-05-29,32430.48,6.91,36,BIKE_LOAN,false
L000108,C000039,2020-04-10,8716.7,7.12,12,CAR_LOAN,false
L000109,C000231,2023-03-24,16189.4,3.22,36,CAR_LOAN,false
L000110,C000238,2020-12-21,38804.25,3.04,72,BIKE_LOAN,false
L000111,C000357,2024-10-07,4693.85,7.52,36,CAR_LOAN,false
L000112,C000128,2021-12-28,19642.27,2.79,36,BIKE_LOAN,false
L000113,C000090,2018-05-08,42988.06,7.63,60,PERSONAL_LOAN,false
L000114,C000049,2023-03-08,7280.11,7.26,12,CAR_LOAN,false
L000115,C000400,2020-06-29,8490.04,7.44,36,PERSONAL_LOAN,false
L000116,C000331,2018-12-11,27457.6,4.05,12,CAR_LOAN,false
L000117,C000102,2022-12-22,36990.54,3.05,36,CAR_LOAN,true
L000118,C000237,2018-07-27,10055.55,5.94,72,BIKE_LOAN,false
L000119,C000196,2022-10-14,10257.9,3.79,24,BIKE_LOAN,false
L000120,C000453,2019-09-01,4455.28,6.22,24,PERSONAL_LOAN,false
L000121,C000211,2024-03-05,23119.3,3.03,48,CAR_LOAN,false
L000122,C000330,2023-11-24,13464.21,8.46,60,CAR_LOAN,false
L000123,C000401,2022-01-10,23146.75,7.19,36,PERSONAL_LOAN,false
L000124,C000199,2021-01-12,10552.27,4.41,24,CAR_LOAN,false
L000125,C000399,2021-02-24,5460.83,8.45,60,BIKE_LOAN,false
L000126,C000120,2019-10-16,7205.64,6.44,36,PERSONAL_LOAN,false
L000127,C000470,2018-08-18,35090.09,8.19,60,BIKE_LOAN,false
L000128,C000430,2019-12-13,10396.22,6.06,72,PERSONAL_LOAN,false
L000129,C000303,2018-04-26,32545.02,4.61,60,PERSONAL_LOAN,false
L000130,C000486,2020-02-11,38141.27,7.36,48,PERSONAL_LOAN,false
L000131,C000252,2018-06-05,6790.81,3.9,24,CAR_LOAN,false
L000132,C000001,2021-09-20,41551.64,3.71,24,BIKE_LOAN,false
L000133,C000471,2021-08-18,5501.35,3.39,72,CAR_LOAN,false
L000134,C000434,2023-11-26,39148.12,8.26,36,PERSONAL_LOAN,false
L000135,C000203,2024-07-28,7243.35,4.31,24,CAR_LOAN,false
L000136,C000224,2023-06-19,30265.57,3.55,60,PERSONAL_LOAN,false
L000137,C000315,2022-01-01,12375.96,6.03,24,BIKE_LOAN,false
L000138,C000353,2021-04-21,8348.63,6.87,72,PERSONAL_LOAN,false
L000139,C000395,2024-05-13,4360.08,6.11,60,CAR_LOAN,false
L000140,C000054,2023-07-26,8907.02,6.97,24,BIKE_LOAN,false
L000141,C000086,2018-12-30,37509.8,6.52,72,BIKE_LOAN,false
L000142,C000136,2020-05-08,13480.72,2.91,36,CAR_LOAN,false
L000143,C000025,2022-04-30,21405.25,5.02,24,BIKE_LOAN,false
L000144,C000194,2021-12-09,25933.01,3.11,48,PERSONAL_LOAN,false
L000145,C000352,2020-07-12,9831.57,2.94,12,BIKE_LOAN,true
L000146,C000134,2019-03-05,6116.42,3.52,48,CAR_LOAN,false
L000147,C000281,2019-01-17,17193.92,8.41,48,PERSONAL_LOAN,true
L000148,C000483,2019-11-07,28507.34,5.11,12,CAR_LOAN,false
L000149,C000499,2020-02-18,20189.75,5.82,72,PERSONAL_LOAN,false
L000150,C000145,2021-05-03,12977.03,2.8,60,PERSONAL_LOAN,false
L000151,C000079,2018-08-12,18154.81,5.07,36,PERSONAL_LOAN,false
L000152,C000246,2020-03-28,7073.45,3.74,72,BIKE_LOAN,false
L000153,C000243,2019-04-19,15950.84,4.88,48,PERSONAL_LOAN,false
L000154,C000329,2024-02-07,19276.14,4.73,48,BIKE_LOAN,false
L000155,C000023,2020-12-14,21469.1,4.08,36,PERSONAL_LOAN,false
L000156,C000386,2019-02-01,6599.71,4.56,60,BIKE_LOAN,false
L000157,C000302,2020-07-20,26251.28,7.54,60,BIKE_LOAN,false
L000158,C000352,2023-04-29,27054.0,3.91,36,CAR_LOAN,false
L000159,C000438,2018-05-23,24088.26,7.9,60,PERSONAL_LOAN,false
L000160,C000076,2019-05-08,42868.7,5.19,24,CAR_LOAN,false
L000161,C000065,2018-06-24,20781.75,8.43,48,CAR_LOAN,false
L000162,C000322,2019-08-29,38032.54,4.05,72,CAR_LOAN,false
L000163,C000285,2022-06-16,26186.28,7.64,60,BIKE_LOAN,false
L000164,C000007,2024-12-27,27678.2,7.19,12,BIKE_LOAN,false
L000165,C000291,2024-08-05,27472.44,8.29,12,CAR_LOAN,false
L000166,C000052,2021-03-17,39433.96,7.78,48,BIKE_LOAN,false
L000167,C000249,2024-06-01,28576.41,2.72,36,BIKE_LOAN,false
L000168,C000312,2022-07-04,4628.87,7.84,36,PERSONAL_LOAN,false
L000169,C000382,2023-05-01,41675.07,7.88,12,BIKE_LOAN,false
L000170,C000156,2021-06-27,14774.56,5.45,72,PERSONAL_LOAN,false
L000171,C000445,2020-07-22,8644.19,8.35,48,BIKE_LOAN,false
L000172,C000214,2024-10-13,30113.3,3.63,24,BIKE_LOAN,false
L000173,C000389,2023-10-17,39421.94,7.43,60,CAR_LOAN,false
L000174,C000364,2023-09-07,19942.18,7.18,60,PERSONAL_LOAN,true
L000175,C000099,2020-04-02,38153.02,4.0,48,CAR_LOAN,false
L000176,C000361,2020-03-26,14507.05,7.44,60,BIKE_LOAN,false
L000177,C000064,2018-05-06,13161.4,5.43,48,CAR_LOAN,false
L000178,C000243,2024-07-31,26156.02,4.57,36,PERSONAL_LOAN,false
L000179,C000047,2021-03-13,4152.92,2.8,60,CAR_LOAN,false
L000180,C000332,2020-07-11,31463.2,4.11,48,PERSONAL_LOAN,true
L000181,C000400,2018-02-06,22912.08,3.29,24,PERSONAL_LOAN,false
L000182,C000115,2020-10-30,28550.44,8.16,72,PERSONAL_LOAN,false
L000183,C000217,2022-03-23,38766.62,5.25,24,BIKE_LOAN,false
L000184,C000267,2024-12-29,19680.41,3.11,60,PERSONAL_LOAN,false
L000185,C000430,2022-03-13,26581.2,6.06,36,BIKE_LOAN,false
L000186,C000247,2018-09-19,17123.91,4.16,36,BIKE_LOAN,false
L000187,C000365,2021-05-08,10911.12,5.6,24,CAR_LOAN,false
L000188,C000411,2024-09-23,19972.13,4.42,24,PERSONAL_LOAN,true
L000189,C000255,2021-04-25,13895.9,5.01,48,PERSONAL_LOAN,true
L000190,C000363,2024-06-01,37272.62,4.56,72,CAR_LOAN,false
L000191,C000327,2023-05-03,41074.11,6.53,60,BIKE_LOAN,false
L000192,C000431,2024-04-05,10607.71,3.09,24,PERSONAL_LOAN,false
L000193,C000414,2024-04-08,35042.57,3.6,72,BIKE_LOAN,false
L000194,C000114,2021-12-26,12379.77,7.73,48,BIKE_LOAN,false
L000195,C000300,2021-04-19,22477.95,3.21,12,PERSONAL_LOAN,false
L000196,C000484,2024-12-17,5991.06,7.84,60,CAR_LOAN,false
L000197,C000196,2023-12-11,15530.94,2.82,24,CAR_LOAN,false
L000198,C000176,2022-08-04,44462.05,7.86,48,CAR_LOAN,false
L000199,C000367,2020-01-09,35715.53,5.43,72,CAR_LOAN,false
L000200,C000030,2018-01-20,21986.24,3.76,24,PERSONAL_LOAN,false
L000201,C000251,2018-12-27,8435.05,5.1,48,BIKE_LOAN,false
L000202,C000245,2022-04-20,3196.1,5.7,72,BIKE_LOAN,false
L000203,C000457,2021-08-12,34787.6,5.69,12,PERSONAL_LOAN,true
L000204,C000376,2020-10-16,12503.16,7.76,36,CAR_LOAN,false
L000205,C000258,2024-08-08,15856.83,2.89,12,BIKE_LOAN,false
L000206,C000234,2023-11-02,28047.54,4.53,72,CAR_LOAN,false
L000207,C000462,2023-07-01,18088.54,3.63,48,CAR_LOAN,false
L000208,C000373,2019-06-22,11869.99,2.63,60,CAR_LOAN,false
L000209,C000365,2018-06-03,18758.08,6.34,60,PERSONAL_LOAN,true
L000210,C000025,2019-03-19,30449.84,2.62,72,CAR_LOAN,false
L000211,C000195,2019-05-22,25985.86,5.35,24,CAR_LOAN,false
L000212,C000323,2018-02-08,15646.89,6.47,72,PERSONAL_LOAN,false
L000213,C000311,2019-07-16,20590.68,7.89,60,PERSONAL_LOAN,false
L000214,C000145,2019-04-12,35959.92,5.49,60,CAR_LOAN,false
L000215,C000426,2023-11-13,43871.03,4.65,48,BIKE_LOAN,false
L000216,C000281,2023-07-27,41234.98,6.63,48,BIKE_LOAN,false
L000217,C000007,2018-12-31,41088.96,7.51,72,BIKE_LOAN,false
L000218,C000047,2023-09-27,6152.02,6.84,36,PERSONAL_LOAN,false
L000219,C000152,2020-12-17,22499.65,3.1,24,CAR_LOAN,false
L000220,C000185,2021-07-04,20891.8,3.2,12,CAR_LOAN,false
L000221,C000340,2019-11-30,16803.75,7.87,60,BIKE_LOAN,false
L000222,C000048,2022-03-07,37228.5,3.6,48,BIKE_LOAN,false
L000223,C000140,2022-04-29,31975.9,5.37,48,PERSONAL_LOAN,false
L000224,C000086,2019-04-09,8565.49,6.86,24,CAR_LOAN,false
L000225,C000303,2023-06-01,36695.12,6.57,24,PERSONAL_LOAN,false
L000226,C000184,2024-11-09,4210.28,6.61,72,CAR_LOAN,false
L000227,C000250,2019-04-08,40278.94,5.14,12,BIKE_LOAN,false
L000228,C000007,2023-11-20,35236.21,5.96,60,CAR_LOAN,false
L000229,C000343,2021-10-17,24802.19,6.63,60,CAR_LOAN,false
L000230,C000373,2020-10-15,23241.05,6.48,72,BIKE_LOAN,false
L000231,C000424,2024-04-05,40466.6,6.18,12,PERSONAL_LOAN,false
L000232,C000259,2023-04-07,38778.59,7.72,12,BIKE_LOAN,false
L000233,C000170,2021-02-13,5114.73,3.84,72,BIKE_LOAN,false
L000234,C000121,2018-11-19,22281.97,7.31,48,CAR_LOAN,false
L000235,C000229,2021-07-18,7985.69,5.48,72,CAR_LOAN,false
L000236,C000212,2018-05-27,26399.5,2.5,12,PERSONAL_LOAN,false
L000237,C000327,2021-06-01,40384.66,5.87,72,PERSONAL_LOAN,false
L000238,C000175,2022-01-28,37663.06,7.4,48,BIKE_LOAN,false
L000239,C000318,2024-09-23,22871.61,6.44,72,BIKE_LOAN,false
L000240,C000389,2020-06-27,3092.27,4.63,72,BIKE_LOAN,false
L000241,C000192,2019-03-12,4922.68,3.48,24,PERSONAL_LOAN,false
L000242,C000210,2019-03-15,13680.15,3.68,12,BIKE_LOAN,false
L000243,C000423,2020-02-20,33105.09,3.15,48,CAR_LOAN,false
L000244,C000429,2024-08-08,8175.21,7.85,48,PERSONAL_LOAN,false
L000245,C000259,2019-07-06,43481.9,2.53,72,CAR_LOAN,false
L000246,C000222,2024-07-24,23283.14,5.55,24,PERSONAL_LOAN,false
L000247,C000375,2019-06-10,7349.27,6.45,60,BIKE_LOAN,false
L000248,C000197,2022-09-11,44139.03,8.0,24,BIKE_LOAN,false
L000249,C000176,2021-04-19,22019.52,3.3,48,PERSONAL_LOAN,false
L000250,C000384,2023-09-30,15554.35,6.71,36,PERSONAL_LOAN,false
L000251,C000284,2020-06-09,11437.34,6.25,36,PERSONAL_LOAN,false
L000252,C000345,2019-06-28,44216.09,6.4,24,PERSONAL_LOAN,false
L000253,C000327,2021-08-13,32834.81,7.06,60,BIKE_LOAN,false
L000254,C000483,2022-09-06,31318.23,7.86,60,BIKE_LOAN,false
L000255,C000217,2018-02-22,24954.66,2.65,24,CAR_LOAN,false
L000256,C000103,2020-12-29,34507.77,3.47,36,PERSONAL_LOAN,false
L000257,C000430,2018-09-12,32004.98,4.27,60,CAR_LOAN,false
L000258,C000232,2019-02-24,28876.57,6.55,60,CAR_LOAN,false
L000259,C000288,2022-05-12,12979.01,7.21,72,BIKE_LOAN,false
L000260,C000025,2022-04-12,19277.3,8.24,72,BIKE_LOAN,false
L000261,C000028,2018-02-23,34234.14,3.72,48,CAR_LOAN,false
L000262,C000361,2022-02-15,34714.52,5.78,60,CAR_LOAN,false
L000263,C000494,2020-03-03,15355.46,3.56,72,CAR_LOAN,false
L000264,C000089,2023-10-06,8012.86,2.74,36,PERSONAL_LOAN,false
L000265,C000083,2024-07-20,38532.6,2.53,48,PERSONAL_LOAN,false
L000266,C000021,2019-09-22,42002.39,6.08,72,PERSONAL_LOAN,false
L000267,C000155,2023-07-03,36176.14,5.8,12,PERSONAL_LOAN,false
L000268,C000113,2020-01-24,24865.46,7.22,24,BIKE_LOAN,false
L000269,C000207,2019-01-12,17674.92,7.8,72,BIKE_LOAN,false
L000270,C000151,2020-06-13,42912.95,6.21,48,PERSONAL_LOAN,false
L000271,C000333,2018-02-06,7818.32,4.58,24,PERSONAL_LOAN,false
L000272,C000319,2020-09-25,43273.67,6.6,36,BIKE_LOAN,false
L000273,C000484,2019-04-10,19206.79,5.74,36,CAR_LOAN,false
L000274,C000421,2022-03-16,24600.98,5.55,48,CAR_LOAN,false
L000275,C000334,2020-02-28,16453.14,2.99,12,CAR_LOAN,false
L000276,C000396,2024-01-13,25394.64,6.26,24,PERSONAL_LOAN,false
L000277,C000110,2022-10-04,38097.93,3.73,72,PERSONAL_LOAN,false
L000278,C000332,2018-10-23,34369.41,3.42,48,PERSONAL_LOAN,false
L000279,C000045,2018-10-28,5279.26,7.27,60,CAR_LOAN,false
L000280,C000117,2020-11-25,20120.58,5.21,48,BIKE_LOAN,false
L000281,C000200,2019-04-30,25463.04,6.35,60,CAR_LOAN,false
L000282,C000300,2018-07-06,32437.05,2.94,60,CAR_LOAN,false
L000283,C000352,2021-05-19,28475.77,4.19,48,BIKE_LOAN,false
L000284,C000339,2018-05-07,22907.48,5.7,24,PERSONAL_LOAN,false
L000285,C000409,2024-02-14,15389.1,6.3,36,PERSONAL_LOAN,false
L000286,C000495,2022-03-09,43210.45,2.57,60,CAR_LOAN,false
L000287,C000003,2024-06-03,28059.51,5.72,12,BIKE_LOAN,false
L000288,C000380,2021-11-09,11892.95,7.93,60,CAR_LOAN,false
L000289,C000114,2024-12-01,38059.43,3.67,24,PERSONAL_LOAN,false
L000290,C000437,2018-08-11,38758.28,8.09,60,BIKE_LOAN,false
L000291,C000038,2021-04-05,31210.78,4.0,24,PERSONAL_LOAN,false
L000292,C000488,2021-09-17,17999.81,6.53,24,CAR_LOAN,false
L000293,C000036,2020-03-03,16347.01,5.2,60,PERSONAL_LOAN,false
L000294,C000300,2019-09-17,26753.18,4.69,36,BIKE_LOAN,false
L000295,C000161,2020-10-05,35997.72,6.77,72,BIKE_LOAN,false
L000296,C000185,2019-07-05,31542.37,4.49,48,BIKE_LOAN,false
L000297,C000397,2021-06-05,23452.8,3.15,72,PERSONAL_LOAN,false
L000298,C000144,2019-07-28,40434.48,3.68,72,PERSONAL_LOAN,false
L000299,C000039,2018-03-18,38682.67,6.29,60,PERSONAL_LOAN,false
L000300,C000303,2020-05-21,41064.75,5.81,60,PERSONAL_LOAN,false
L000301,C000397,2019-09-01,18364.38,3.84,60,PERSONAL_LOAN,false
L000302,C000069,2023-03-19,24047.17,3.04,36,PERSONAL_LOAN,true
L000303,C000123,2024-11-20,31734.79,7.04,24,BIKE_LOAN,false
L000304,C000290,2024-05-06,30695.36,8.31,72,PERSONAL_LOAN,false
L000305,C000184,2018-06-15,12190.4,5.43,12,BIKE_LOAN,false
L000306,C000022,2020-04-26,24751.18,7.25,48,BIKE_LOAN,false
L000307,C000452,2018-07-10,4676.0,6.39,12,PERSONAL_LOAN,false
L000308,C000325,2021-01-25,38064.64,4.08,60,PERSONAL_LOAN,false
L000309,C000335,2022-03-31,18342.46,6.42,12,PERSONAL_LOAN,false
L000310,C000499,2020-07-01,24687.61,4.62,36,BIKE_LOAN,false
L000311,C000455,2024-10-10,3277.1,7.79,48,CAR_LOAN,false
L000312,C000264,2021-02-24,11883.72,3.62,36,PERSONAL_LOAN,false
L000313,C000061,2020-08-01,20413.77,4.48,12,BIKE_LOAN,false
L000314,C000246,2020-05-13,27813.22,6.38,48,CAR_LOAN,false
L000315,C000066,2024-06-07,27878.6,3.31,60,CAR_LOAN,false
L000316,C000076,2018-08-18,9986.34,8.03,60,BIKE_LOAN,false
L000317,C000289,2018-03-18,39897.38,6.87,36,CAR_LOAN,false
L000318,C000311,2023-04-15,39426.7,3.52,48,PERSONAL_LOAN,false
L000319,C000299,2020-01-15,29174.89,5.56,24,PERSONAL_LOAN,false
L000320,C000473,2023-02-01,28054.4,2.91,48,BIKE_LOAN,false
L000321,C000009,2020-04-08,24953.88,7.96,72,BIKE_LOAN,false
L000322,C000311,2019-01-30,10451.73,7.91,60,CAR_LOAN,false
L000323,C000273,2023-08-24,34600.09,3.06,72,CAR_LOAN,false
L000324,C000277,2018-01-05,40672.7,7.15,72,BIKE_LOAN,false
L000325,C000190,2018-06-27,32301.0,5.07,48,BIKE_LOAN,false
L000326,C000412,2024-06-17,7104.11,3.3,48,CAR_LOAN,false
L000327,C000043,2021-03-06,28128.28,5.76,36,CAR_LOAN,true
L000328,C000381,2018-01-30,27275.46,3.21,12,BIKE_LOAN,false
L000329,C000353,2021-07-17,20171.49,3.14,48,PERSONAL_LOAN,false
L000330,C000134,2024-01-05,20789.58,4.69,36,PERSONAL_LOAN,false
L000331,C000105,2022-08-20,26188.41,5.85,24,BIKE_LOAN,false
L000332,C000248,2020-11-05,44517.35,5.97,72,BIKE_LOAN,false
L000333,C000438,2019-05-03,34408.2,5.18,72,CAR_LOAN,false
L000334,C000261,2022-06-29,36015.41,7.31,60,PERSONAL_LOAN,false
L000335,C000027,2019-10-21,19342.35,6.32,12,CAR_LOAN,false
L000336,C000308,2022-11-19,6701.91,4.08,36,CAR_LOAN,false
L000337,C000371,2022-04-24,42088.77,4.9,72,PERSONAL_LOAN,false
L000338,C000494,2024-09-13,5413.45,7.14,24,PERSONAL_LOAN,false
L000339,C000006,2020-04-06,38723.84,8.08,60,BIKE_LOAN,false
L000340,C000402,2024-09-21,24443.01,6.69,60,CAR_LOAN,false
L000341,C000185,2020-09-06,30510.8,8.35,12,BIKE_LOAN,false
L000342,C000181,2022-06-07,20028.94,3.7,12,PERSONAL_LOAN,false
L000343,C000471,2019-01-05,26082.89,6.86,60,PERSONAL_LOAN,false
L000344,C000494,2021-02-06,12504.41,8.28,48,BIKE_LOAN,false
L000345,C000134,2019-12-18,20099.65,3.14,12,PERSONAL_LOAN,false
L000346,C000485,2019-04-25,36723.57,8.24,60,PERSONAL_LOAN,false
L000347,C000227,2022-03-25,26653.08,7.12,36,BIKE_LOAN,false
L000348,C000460,2024-07-31,39204.98,5.39,36,CAR_LOAN,false
L000349,C000404,2020-06-21,31430.34,3.88,36,BIKE_LOAN,false
L000350,C000265,2024-01-04,3408.37,7.49,24,BIKE_LOAN,false
L000351,C000345,2021-11-01,6193.21,8.09,48,BIKE_LOAN,false
L000352,C000458,2024-06-07,14301.18,8.18,72,CAR_LOAN,false
L000353,C000103,2020-08-19,33888.02,7.74,24,CAR_LOAN,false
L000354,C000128,2024-12-08,17953.15,7.17,12,CAR_LOAN,false
L000355,C000340,2023-07-11,28780.73,7.09,60,CAR_LOAN,false
L000356,C000191,2024-12-17,16247.51,7.89,60,BIKE_LOAN,false
L000357,C000392,2023-09-25,14771.2,3.83,60,CAR_LOAN,false
L000358,C000410,2022-09-30,23089.44,5.74,60,BIKE_LOAN,false
L000359,C000352,2019-12-17,22202.23,3.22,60,BIKE_LOAN,false
L000360,C000005,2018-02-18,31312.33,4.78,12,BIKE_LOAN,false
L000361,C000442,2020-11-29,10860.4,4.08,36,BIKE_LOAN,false
L000362,C000176,2022-02-07,10724.37,5.04,48,PERSONAL_LOAN,false
L000363,C000187,2022-06-29,14744.44,3.58,24,PERSONAL_LOAN,false
